Price,Close,High,Low,Open,Volume,Daily_Return
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,
Date,,,,,,
2015-01-05,0.4748533368110657,0.4844512004950466,0.472693835359548,0.4830115137914982,197952000,-0.016890051282228424
2015-01-06,0.4604564905166626,0.4760529693490393,0.45997660458104156,0.4755730834134183,197764000,-0.03031851137676911
2015-01-07,0.4592567980289459,0.46789485997472313,0.45781711150338267,0.4638157576868942,321808000,-0.002605441583352519
2015-01-08,0.47653278708457947,0.47941215949381566,0.46429554015671054,0.4645354973920785,283780000,0.0376172745396024
2015-01-09,0.4784524142742157,0.48205163020039327,0.47173392555168125,0.4782124856150027,209540000,0.004028321327857576
2015-01-12,0.4724537432193756,0.47989207472539636,0.46813471294503445,0.47965211747534536,190732000,-0.012537654479055638
2015-01-13,0.4717339873313904,0.4856508525212783,0.46837475683208724,0.47605301840463865,236720000,-0.001523442026473698
2015-01-14,0.4736534357070923,0.47509312188869485,0.4654952902881295,0.4666950192382002,155260000,0.004068921102251322
2015-01-15,0.47029441595077515,0.47989225183424167,0.4700544586121656,0.47701290678996316,188932000,-0.007091724672708466
2015-01-16,0.47893238067626953,0.4794122666504731,0.4681347889357815,0.46957447546219355,181512000,0.018367142863117802
2015-01-20,0.4803720712661743,0.4849310023615734,0.4743733964245817,0.4822916151792262,140308000,0.003006041453851749
2015-01-21,0.48709049820899963,0.488290255976711,0.47437336335077424,0.4777326221720071,144780000,0.0139858816627636
2015-01-22,0.49548864364624023,0.4969283301213147,0.48301143713906197,0.4880502825942222,159712000,0.017241447879028815
2015-01-23,0.49692824482917786,0.49788801657862664,0.49188934303128784,0.4959684158721383,120416000,0.0029054171097520065
2015-01-26,0.49476873874664307,0.4971681968368606,0.4916494375086009,0.49476873874664307,133240000,-0.004345710079887155
2015-01-27,0.47101420164108276,0.4875704836734123,0.47005440100807316,0.4870905690550057,357948000,-0.04801139450672598
2015-01-28,0.4633358120918274,0.47869236150784705,0.4630958548338437,0.4767727892553699,272728000,-0.016301821733830435
2015-01-29,0.47461333870887756,0.4772527258077703,0.4614162887992114,0.46357581853881524,235340000,0.024339855290130386
2015-01-30,0.46069642901420593,0.47677282272908583,0.45997661439731247,0.4712540628421718,298200000,-0.029322626566987586
2015-02-02,0.4707741439342499,0.47269371618709605,0.45445782269075397,0.46357576943892503,259604000,0.021874957749527413
2015-02-03,0.48253145813941956,0.48301137263622196,0.4717338968297015,0.47413335489852776,183468000,0.02497442639248204
